Date,combined_nav
2022-01-19,105389453.95923056
2022-01-20,104094927.25369038
2022-01-21,100976508.92880504
2022-01-24,100817661.80978681
2022-01-25,99364017.65634398
2022-01-26,100295936.86160736
2022-01-27,98851810.24890606
2022-01-28,102518708.26432057
2022-01-31,105744075.70382024
2022-02-01,106539715.71235593
2022-02-02,107815255.31511858
2022-02-03,102166057.46213788
2022-02-04,104267632.62183556
2022-02-07,103176990.53726359
2022-02-08,104100147.06276137
2022-02-09,106076634.84960069
2022-02-10,103914968.0967598
2022-02-11,100812342.04747635
2022-02-14,101085075.37100452
2022-02-15,103663793.3899503
2022-02-16,103693913.8900334
2022-02-17,100318400.62774622
2022-02-18,99033775.46772362
2022-02-22,97722897.293795
2022-02-23,94979097.71162286
2022-02-24,97521331.4115003
2022-02-25,99246112.91091329
2022-02-28,99561357.08884087
2022-03-01,97548172.90278807
2022-03-02,99029057.7222653
2022-03-03,97652750.69165747
2022-03-04,95958919.57718487
2022-03-07,92091407.83179049
2022-03-08,92072026.63614582
2022-03-09,95718617.1288063
2022-03-10,95088431.81427003
2022-03-11,93021625.72821851
2022-03-14,91816270.10755266
2022-03-15,95110452.57740305
2022-03-16,98566409.58785968
2022-03-17,99975806.25267844
2022-03-18,102427108.23168148
2022-03-21,102464053.99064489
2022-03-22,104564560.53529349
2022-03-23,103398530.97653566
2022-03-24,105769901.35058858
2022-03-25,106026348.51185699
2022-03-28,107810951.16685617
2022-03-29,109206452.65593196
2022-03-30,108185690.45265211
2022-03-31,106211987.02950934
2022-04-01,106515261.19254345
2022-04-04,108782960.49288498
2022-04-05,106659972.42248358
2022-04-06,103746969.57424667
2022-04-07,103535957.22601095
2022-04-08,102286976.30100976
2022-04-11,99487032.10846616
2022-04-12,98938753.43186961
2022-04-13,100304885.45416076
2022-04-14,98060611.36196937
2022-04-18,98755313.88429847
2022-04-19,100944205.42741916
2022-04-20,99119563.96150851
2022-04-21,97202696.37705138
2022-04-22,94720875.67336412
2022-04-25,95985221.73733334
2022-04-26,91701131.96115251
2022-04-27,91624854.02162474
2022-04-28,95764318.4409196
2022-04-29,91593709.16147722
2022-05-02,93294646.59223938
2022-05-03,93526513.31578813
2022-05-04,96682285.01913074
2022-05-05,91512646.29050992
2022-05-06,90777110.86726004
2022-05-09,86879651.43770662
2022-05-10,87673817.8588185
2022-05-11,85020028.55948219
2022-05-12,84473768.17641589
2022-05-13,87529644.46990274
2022-05-16,86418987.17091377
2022-05-17,88934402.5583571
2022-05-18,84874330.52182394
2022-05-19,84267750.54520333
2022-05-20,83666340.16132149
2022-05-23,85875379.5611707
2022-05-24,83353370.9400284
2022-05-25,84633408.58282962
2022-05-26,87203860.86288936
2022-05-27,90143252.70370834
2022-05-31,90369110.8354676
2022-06-01,89536780.70688964
2022-06-02,92199270.99046308
2022-06-03,89306249.81575169
2022-06-06,89987392.37684955
2022-06-07,90512283.0004828
2022-06-08,90053278.84850036
2022-06-09,87350193.14698778
2022-06-10,83915599.06983145
2022-06-13,79978989.03336334
2022-06-14,80084023.50899705
2022-06-15,82490938.53379677
2022-06-16,79330490.86303507
2022-06-17,80192601.38399036
2022-06-21,82493437.63560016
2022-06-22,82318954.48218906
2022-06-23,83267922.45873423
2022-06-24,86670909.65737683
2022-06-27,85828261.83370027
2022-06-28,82726082.71197705
2022-06-29,82865398.53093316
2022-06-30,81430859.09830394
2022-07-01,81879828.82334462
2022-07-05,83614175.60638191
2022-07-06,84060905.16236392
2022-07-07,86073898.18669279
2022-07-08,86211936.4237915
2022-07-11,84041268.58082585
2022-07-12,83257824.78302418
2022-07-13,83174366.95824115
2022-07-14,83007618.22432467
2022-07-15,84806566.93033457
2022-07-18,84293977.33174466
2022-07-19,86820347.25396383
2022-07-20,88158720.19472979
2022-07-21,89742992.04782128
2022-07-22,87718375.29682484
2022-07-25,87145147.48988955
2022-07-26,85071573.68847956
2022-07-27,88809026.76324563
2022-07-28,89166843.05083387
2022-07-29,91297348.58916575
2022-08-01,91103374.21015672
2022-08-02,90596640.48329034
2022-08-03,92946457.53899789
2022-08-04,93444791.08683154
2022-08-05,92664729.97707823
2022-08-08,91837305.23298247
2022-08-09,91014491.72419961
2022-08-10,93806567.31587736
2022-08-11,93036653.52956033
2022-08-12,94865956.6718103
2022-08-15,95762428.64322549
2022-08-16,95776823.00752197
2022-08-17,94688445.83461668
2022-08-18,94786180.93382634
2022-08-19,92781022.65431327
2022-08-22,90443479.74478382
2022-08-23,90307514.52516665
2022-08-24,90449611.32297115
2022-08-25,92234502.16992046
2022-08-26,88338387.90345831
2022-08-29,87375975.62694772
2022-08-30,86473067.31823389
2022-08-31,85960829.49038313
2022-09-01,86009079.55489774
2022-09-02,84622837.55565499
2022-09-06,84272519.23655014
2022-09-07,85771906.45299889
2022-09-08,86354795.97875021
2022-09-09,88316127.6556287
2022-09-12,89323441.18834975
2022-09-13,84251938.24502973
2022-09-14,84864214.7973062
2022-09-15,83925956.5080919
2022-09-16,83582722.60553889
2022-09-19,84262200.48586982
2022-09-20,83468255.80130264
2022-09-21,81839234.86085129
2022-09-22,81115648.80937856
2022-09-23,79786137.95134524
2022-09-26,79076660.9077168
2022-09-27,78968051.88227323
2022-09-28,80533204.26798578
2022-09-29,78225849.29000673
2022-09-30,77109065.19611703
2022-10-03,78189845.92755875
2022-10-04,80634825.22203931
2022-10-05,80270260.16028792
2022-10-06,79553270.14225976
2022-10-07,76473198.84936568
2022-10-10,75832210.90698498
2022-10-11,74666637.11378092
2022-10-12,74710059.7633069
2022-10-13,76752107.99245465
2022-10-14,74488176.97531663
2022-10-17,77653461.91553056
2022-10-18,78259940.38385254
2022-10-19,77921778.04079814
2022-10-20,77426485.96801947
2022-10-21,79256142.2422857
2022-10-24,79764661.55263633
2022-10-25,81719797.52759829
2022-10-26,79784032.71202114
2022-10-27,77128562.82598203
2022-10-28,78840617.20694928
2022-10-31,77530123.77365805
2022-11-01,76798683.30894794
2022-11-02,74163018.37928265
2022-11-03,72907770.62904036
2022-11-04,74155720.27367808
2022-11-07,74940916.67976812
2022-11-08,75017560.41478147
2022-11-09,73160438.84814052
2022-11-10,79039544.4174305
2022-11-11,80220213.62925021
2022-11-14,79700699.04920526
2022-11-15,80687472.68246295
2022-11-16,79641597.6606787
2022-11-17,79176919.56229354
2022-11-18,78966570.72545347
2022-11-21,77614405.69746272
2022-11-22,78882780.51033136
2022-11-23,80263565.85804175
2022-11-25,79867685.11402018
2022-11-28,78767555.12055354
2022-11-29,78212413.20805605
2022-11-30,82245947.74347845
2022-12-01,82343233.96181576
2022-12-02,82220244.54321265
2022-12-05,80534750.54230395
2022-12-06,78469555.62343182
2022-12-07,77984164.46523523
2022-12-08,78951302.5796702
2022-12-09,78770837.60978855
2022-12-12,79409711.68605174
2022-12-13,80263127.79532623
2022-12-14,79728047.9954873
2022-12-15,77329407.27514273
2022-12-16,76492089.67657119
2022-12-19,75303362.28658435
2022-12-20,74965862.2571633
2022-12-21,75990372.95972845
2022-12-22,73638376.14646164
2022-12-23,73832571.07572682
2022-12-27,71925492.0448161
2022-12-28,71491296.5827063
2022-12-29,73643469.30611914
2022-12-30,73684083.21423751
2023-01-03,72957063.83540942
2023-01-04,73652055.94184582
2023-01-05,72432019.97768652
2023-01-06,74223851.91053604
2023-01-09,75096099.45492752
2023-01-10,75855084.1374332
2023-01-11,77351087.64241652
2023-01-12,77915659.56045331
2023-01-13,78614794.71351936
2023-01-17,79177532.34777388
2023-01-18,77990838.23917466
2023-01-19,77615522.21562663
2023-01-20,79940650.01942953
2023-01-23,81932946.57891257
2023-01-24,81815496.46530472
2023-01-25,81690012.75571279
2023-01-26,83883027.29731078
2023-01-27,86075912.64922467
2023-01-30,83559244.27724677
2023-01-31,84956348.47179125
2023-02-01,86830639.70165539
2023-02-02,91451966.66981328
2023-02-03,90265073.70143919
2023-02-06,89936685.48390296
2023-02-07,91911580.26285529
2023-02-08,90558461.14879395
2023-02-09,89600959.38367417
2023-02-10,88429954.87331106
2023-02-13,89632663.3609419
2023-02-14,90829234.43690965
2023-02-15,91120527.98710777
2023-02-16,88992759.68500815
2023-02-17,88765318.14781138
2023-02-21,86634598.7781713
2023-02-22,86762245.63837522
2023-02-23,88263213.99809358
2023-02-24,86990228.34866102
2023-02-27,87793250.35175218
2023-02-28,87815248.66434012
2023-03-01,86864683.97876525
2023-03-02,86938688.96014719
2023-03-03,89309732.6867528
2023-03-06,89397452.2247858
2023-03-07,88143983.86816105
2023-03-08,88210241.85606217
2023-03-09,86157356.04016441
2023-03-10,85446634.99995387
2023-03-13,85929682.02135362
2023-03-14,88690138.330138
2023-03-15,88805695.50996718
2023-03-16,91264032.81995247
2023-03-17,90344819.29011194
2023-03-20,90639995.40099771
2023-03-21,92818338.49071363
2023-03-22,91561660.73770408
2023-03-23,92599485.12064752
2023-03-24,92443581.98564483
2023-03-27,92098021.42483838
2023-03-28,91429783.74972254
2023-03-29,92974661.90374288
2023-03-30,93558867.03387934
2023-03-31,95473423.09871118
2023-04-03,95272508.91020387
2023-04-04,95124526.52139306
2023-04-05,94410545.81774783
2023-04-06,95262986.83556573
2023-04-10,94979461.7646641
2023-04-11,94449312.16263492
2023-04-12,93575699.0113738
2023-04-13,95700656.35097152
2023-04-14,96570475.30407484
2023-04-17,96550153.50426097
2023-04-18,96328595.65273622
2023-04-19,96394235.09778008
2023-04-20,95090212.92396004
2023-04-21,95312239.12007287
2023-04-24,95020926.79075666
2023-04-25,93323137.66607746
2023-04-26,93772983.95825128
2023-04-27,97106205.69925047
2023-04-28,97640416.76853935
2023-05-01,97825335.15623188
2023-05-02,96946047.89988048
2023-05-03,96273797.24841331
2023-05-04,95794322.47608869
2023-05-05,98012751.2685111
2023-05-08,98468458.43439698
2023-05-09,97928741.96676083
2023-05-10,98949280.88321514
2023-05-11,99651257.7918683
2023-05-12,98925339.14772141
2023-05-15,99313910.47718048
2023-05-16,99757742.51790869
2023-05-17,101489010.61831887
2023-05-18,103126203.6892738
2023-05-19,102950549.14300203
2023-05-22,103420915.6470941
2023-05-23,102054155.76970893
2023-05-24,101727965.01280357
2023-05-25,104896905.44505164
2023-05-26,107155437.94306579
2023-05-30,107939132.64005017
2023-05-31,107184321.49422264
2023-06-01,109198851.36545424
2023-06-02,110290651.90208149
2023-06-05,110421030.87132595
2023-06-06,110665503.34955159
2023-06-07,108853961.0248199
2023-06-08,110182238.2701022
2023-06-09,110761745.02102023
2023-06-12,112344059.50501998
2023-06-13,113275924.31772156
2023-06-14,113947701.78968245
2023-06-15,115277522.51553226
2023-06-16,115101996.68130864
2023-06-20,115814563.02079916
2023-06-21,114326096.1772423
