,value
Annualized Return,0.20193933898013294
Annualized Volatility,0.24223398428517068
Sharpe Ratio,0.8803044815900418
Calmar Ratio,0.5316300313618878
Max Drawdown,-0.3798493822167125
Win Rate,0.5394154118689105
Max Daily Return,0.11998211542189674
Min Daily Return,-0.06064109684219099
Skewness,0.25369906924725016
Kurtosis,4.757444260435261
Final NAV,227518671.751978
Total Transaction Cost,200000.0
