Date,fut_pnl
2021-09-21,0.0
2021-09-22,-256203.70826976158
2021-09-23,-339509.20850471477
2021-09-24,-48725.85862799147
2021-09-27,80161.8964525021
2021-09-28,562705.0770587402
2021-09-29,-39295.047280638275
2021-09-30,326934.7933749105
2021-10-01,-289211.54798549775
2021-10-04,330078.39715736156
2021-10-05,-268778.12339956587
2021-10-06,-125744.15129804249
2021-10-07,-226339.4723364765
2021-10-08,48725.85862799147
2021-10-11,196475.2364031914
2021-10-12,64443.87754024677
2021-10-13,-89592.70779985528
2021-10-14,-465253.3598027572
2021-10-15,-210621.4534242212
2021-10-18,-94308.11347353188
2021-10-19,-212193.25531544673
2021-10-20,-105310.7267121106
2021-10-21,-86449.10401740421
2021-10-22,33007.839715736154
2021-10-25,-135174.9626453957
2021-10-26,-45582.2548455404
2021-10-27,130459.5569717191
2021-10-28,-270349.9252907914
2021-10-29,-59728.47186657018
2021-11-01,-55013.06619289359
2021-11-02,-111597.93427701273
2021-11-03,-180757.2174909361
2021-11-04,-132031.35886294462
2021-11-05,-106882.52860333612
2021-11-08,-23577.02836838297
2021-11-09,99023.51914720847
2021-11-10,227911.274227702
2021-11-11,-6287.207564902124
2021-11-12,-221624.0666627999
2021-11-15,-4715.405673676594
2021-11-16,-106882.52860333612
2021-11-17,61300.273757795716
2021-11-18,-95879.9153647574
2021-11-19,44010.452954314875
2021-11-22,92736.31158230634
2021-11-23,-55013.06619289359
2021-11-24,-66015.67943147231
2021-11-26,649154.1810761445
2021-11-29,-347368.2179608424
2021-11-30,532840.8411254551
2021-12-01,363086.23687309766
2021-12-02,-422814.7087396679
2021-12-03,240485.6893575063
2021-12-06,-330078.39715736156
2021-12-07,-597284.7186657019
2021-12-08,-88020.90590862975
2021-12-09,201190.64207686798
2021-12-10,-276637.13285569346
2021-12-13,265634.51961711474
2021-12-14,199618.84018564248
2021-12-15,-517430.9082852694
2021-12-16,294400.344369205
2021-12-17,351496.1687317175
2021-12-20,367554.36933367414
2021-12-21,-587016.4442270815
2021-12-22,-322948.2565504612
2021-12-23,-212325.0968480933
2021-12-27,-474609.04001338506
2021-12-28,26763.667669927723
2021-12-29,-42821.86827188436
2021-12-30,87427.98105509725
2021-12-31,98133.44812306833
2022-01-03,-196266.89624613666
2022-01-04,12489.711579299606
2022-01-05,654817.7356575651
2022-01-06,35684.8902265703
2022-01-07,140955.3163949527
2022-01-10,39253.379249227335
2022-01-11,-305105.8114371761
2022-01-12,-80291.00300978319
2022-01-13,458550.8394114284
2022-01-14,-19626.689624613668
2022-01-18,595937.666783724
2022-01-19,335437.9681297608
2022-01-20,353280.413243046
2022-01-21,604858.8893403667
2022-01-24,-98133.44812306833
2022-01-25,390749.5479809448
2022-01-26,53527.33533985545
2022-01-27,169503.22857620896
2022-01-28,-752951.1837806334
2022-01-31,-578095.2216704389
2022-02-01,-219462.07489340735
2022-02-02,-301537.3224145191
2022-02-03,772577.8734052471
2022-02-04,-167718.9840648804
2022-02-07,119544.38225901051
2022-02-08,-262283.94316529174
2022-02-09,-465687.8174567424
2022-02-10,572742.4881364533
2022-02-11,628054.0679876374
2022-02-14,110623.15970236794
2022-02-15,-503156.9521946412
2022-02-16,-39253.379249227335
2022-02-17,681581.4033274928
2022-02-18,221246.31940473587
2022-02-22,310458.54497116164
2022-02-23,556684.2875344967
2022-02-24,-442492.63880947174
2022-02-25,-685149.8923501498
2022-02-28,85643.73654376873
2022-03-01,458550.8394114284
2022-03-02,-556684.2875344967
2022-03-03,160582.00601956638
2022-03-04,228383.29745004995
2022-03-07,918885.9233341853
2022-03-08,212325.0968480933
2022-03-09,-760088.1618259475
2022-03-10,128465.60481565309
2022-03-11,397886.5260262589
2022-03-14,210540.85233676477
2022-03-15,-642328.0240782655
2022-03-16,-749052.1248968114
2022-03-17,-410707.43140556244
2022-03-18,-402884.43271212315
2022-03-21,9778.748366799105
2022-03-22,-412663.18107892224
2022-03-23,449822.4248727588
2022-03-24,-508494.91507355345
2022-03-25,-187751.9686425428
2022-03-28,-246424.45884333746
2022-03-29,-449822.4248727588
2022-03-30,230778.4614564589
2022-03-31,510450.6647469133
2022-04-01,-66495.48889423392
2022-04-04,-301185.44969741243
2022-04-05,449822.4248727588
2022-04-06,348123.44185804814
2022-04-07,-160371.47321550534
2022-04-08,99743.23334135086
2022-04-11,582813.4026612267
2022-04-12,125167.97909502854
2022-04-13,-385282.6856518847
2022-04-14,428309.17846580077
2022-04-18,5867.249020079463
2022-04-19,-567167.4052743481
2022-04-20,29336.245100397315
2022-04-21,508494.91507355345
2022-04-22,964184.5889663916
2022-04-25,-199486.46668270172
2022-04-26,956361.5902729526
2022-04-27,-76274.23726103302
2022-04-28,-807724.6150976061
2022-04-29,1220387.7961765283
2022-05-02,-183840.4692958232
2022-05-03,-142769.72615526692
2022-05-04,-985697.8353733498
2022-05-05,1189095.8014027711
2022-05-06,185796.21896918298
2022-05-09,1032635.8275339855
2022-05-10,-72362.73791431337
2022-05-11,520229.4131137124
2022-05-12,23468.99608031785
2022-05-13,-723627.3791431338
2022-05-16,117344.98040158926
2022-05-17,-625839.8954751428
2022-05-18,1267325.788337164
2022-05-19,195574.9673359821
2022-05-20,-13690.247713518747
2022-05-23,-565211.6556009883
2022-05-24,244468.70916997764
2022-05-25,-283583.70263717405
2022-05-26,-618016.8967817035
2022-05-27,-782299.8693439284
2022-05-31,191663.46798926246
2022-06-01,252291.70786341693
2022-06-02,-596503.6503747454
2022-06-03,533919.6608272311
2022-06-06,-105610.48236143033
2022-06-07,-299229.70002405264
2022-06-08,350079.191531408
2022-06-09,764698.12228369
2022-06-10,917246.5968057561
2022-06-13,1161715.3059757336
2022-06-14,107566.23203479017
2022-06-15,-392398.7145034087
2022-06-16,900859.0206205017
2022-06-17,-33160.45474676693
2022-06-21,-677947.0748227907
2022-06-22,36844.94971862993
2022-06-23,-272652.62791786145
2022-06-24,-858487.3284440773
2022-06-27,92112.37429657482
2022-06-28,576623.4630965583
2022-06-29,31318.207260835436
2022-06-30,233965.4307133
2022-07-01,-278179.37037565594
2022-07-05,-49740.6821201504
2022-07-06,-105008.1066980953
2022-07-07,-418190.17930644966
2022-07-08,27633.71228897245
2022-07-11,327920.05249580636
2022-07-12,243176.66814295753
2022-07-13,141853.05641672522
2022-07-14,82901.13686691734
2022-07-15,-528725.0284623394
2022-07-18,230280.93574143705
2022-07-19,-764532.7066615709
2022-07-20,-184224.74859314965
2022-07-21,-285548.3603193819
2022-07-22,267125.88546006696
2022-07-25,-36844.94971862993
2022-07-26,344500.27986918984
2022-07-27,-746110.2318022561
2022-07-28,-361080.50724257325
2022-07-29,-442139.3966235592
2022-08-01,95796.8692684378
2022-08-02,197120.4809946701
2022-08-03,-460561.8714828741
2022-08-04,29475.959774903942
2022-08-05,40529.44469049292
2022-08-08,36844.94971862993
2022-08-09,127115.07652927325
2022-08-10,-630048.6401885718
2022-08-11,1842.2474859314964
2022-08-12,-525040.5334904764
2022-08-15,-127115.07652927325
2022-08-16,-70005.40446539686
2022-08-17,228438.68825550552
2022-08-18,-71847.65195132836
2022-08-19,405294.4469049292
2022-08-22,665051.3424212701
2022-08-23,79216.64189505434
2022-08-24,-90270.12681064331
2022-08-25,-429243.66422203864
2022-08-26,1042712.0770372269
2022-08-29,208173.96591025908
2022-08-30,322393.31003801187
2022-08-31,228438.68825550552
2022-09-01,-90270.12681064331
2022-09-02,326077.80500987486
2022-09-06,103165.85921216379
2022-09-07,-512144.80108895595
2022-09-08,-187909.2435650126
2022-09-09,-455035.12902507966
2022-09-12,-320551.0625520804
2022-09-13,1322733.6948988144
2022-09-14,-115598.92985301603
2022-09-15,350586.9184066879
2022-09-16,221722.53758693236
2022-09-19,-206562.02219637288
2022-09-20,337321.4674399484
2022-09-21,504087.13673610264
2022-09-22,259623.82606333107
2022-09-23,477556.23480262357
2022-09-26,295630.05011590983
2022-09-27,68222.31925751765
2022-09-28,-538198.2963648614
2022-09-29,589365.0358079997
2022-09-30,399858.59342600626
2022-10-03,-672747.8704560769
2022-10-04,-856569.1195666105
2022-10-05,70117.3836813376
2022-10-06,282364.59914917033
2022-10-07,784556.6714614531
2022-10-10,212247.21546783272
2022-10-11,197086.70007727324
2022-10-12,81487.7702242572
2022-10-13,-706859.0300848357
2022-10-14,638636.710827318
2022-10-17,-695488.643541916
2022-10-18,-329741.2097446687
2022-10-19,193296.57122963335
2022-10-20,242568.24624895168
2022-10-21,-672747.8704560769
2022-10-24,-343006.66071140824
2022-10-25,-462395.7194120641
2022-10-26,221722.53758693236
2022-10-27,162975.5404485144
2022-10-28,-695488.643541916
2022-10-31,214142.27989165264
2022-11-01,128864.38081975558
2022-11-02,737180.0608659547
2022-11-03,310790.56550646934
2022-11-04,-392278.33573072654
2022-11-07,-270994.21260625066
2022-11-08,-151605.15390559478
2022-11-09,604525.5511985592
2022-11-10,-1557742.9563799864
2022-11-11,-297525.1145397298
2022-11-14,259623.82606333107
2022-11-15,-253938.63279187126
2022-11-16,234987.9885536719
2022-11-17,100438.41446245655
2022-11-18,-142129.8317864951
2022-11-21,121284.12312447584
2022-11-22,-396068.46457836643
2022-11-23,-172450.8625676141
2022-11-25,3790.12884763987
2022-11-28,471871.0415311638
2022-11-29,62537.12598605786
2022-11-30,-903945.7301621089
2022-12-01,-3790.12884763987
2022-12-02,47376.61059549837
2022-12-05,547673.6184839612
2022-12-06,441550.01075004484
2022-12-07,62537.12598605786
2022-12-08,-219827.47316311242
2022-12-09,223617.6020107523
2022-12-12,-420704.30208802555
2022-12-13,-231197.85970603206
2022-12-14,151332.3223345433
2022-12-15,639301.8514949074
2022-12-16,298032.02255680464
2022-12-19,206923.78768192657
2022-12-20,-23163.11056140969
2022-12-21,-348990.86579190596
2022-12-22,348990.86579190596
2022-12-23,-126625.00440237297
2022-12-27,91108.23487487811
2022-12-28,293399.40044452273
2022-12-29,-396861.29428548604
2022-12-30,66400.91694270777
2023-01-03,92652.44224563875
2023-01-04,-176039.64026671363
2023-01-05,281045.74147843756
2023-01-06,-534295.7502831835
2023-01-09,10809.451595324523
2023-01-10,-166774.39604214975
2023-01-11,-304208.8520398473
2023-01-12,-83387.19802107487
2023-01-13,-91108.23487487811
2023-01-17,54047.25797662261
2023-01-18,393772.8795439647
2023-01-19,186849.09186203816
2023-01-20,-450908.5522621086
2023-01-23,-296487.815186044
2023-01-24,23163.11056140969
2023-01-25,4632.622112281938
2023-01-26,-268692.0825123524
2023-01-27,-54047.25797662261
2023-01-30,319650.9257474537
2023-01-31,-355167.69527494855
2023-02-01,-260971.04565854915
2023-02-02,-365977.1468702731
2023-02-03,270236.289883113
2023-02-06,149788.11496378266
2023-02-07,-322739.340488975
2023-02-08,279501.53410767694
2023-02-09,239352.1424679001
2023-02-10,-49414.63586434067
2023-02-13,-293399.40044452273
2023-02-14,10809.451595324523
2023-02-15,-78754.57590879295
2023-02-16,361344.5247579912
2023-02-17,75666.16116727165
2023-02-21,504955.8102387312
2023-02-22,41693.59901053744
2023-02-23,-121992.38229009102
2023-02-24,265603.6677708311
2023-02-27,-75666.16116727165
2023-02-28,77210.3685380323
2023-03-01,117359.76017780909
2023-03-02,-174495.43289595298
2023-03-03,-401493.91639776796
2023-03-06,-16986.281078367105
2023-03-07,387596.05006092216
2023-03-08,-32428.354785973563
2023-03-09,602573.4013389274
2023-03-10,462760.6186753202
2023-03-13,68921.79427079236
2023-03-14,-515928.8599699315
2023-03-15,230395.7122766488
2023-03-16,-547435.9659222936
2023-03-17,374146.8831843014
2023-03-20,-283563.95357126003
2023-03-21,-415499.95974677685
2023-03-22,513959.66584790876
2023-03-23,-59075.82366067917
2023-03-24,-183135.05334810543
2023-03-27,-47260.65892854334
2023-03-28,45291.46480652069
2023-03-29,-441099.4833330711
2023-03-30,-177227.4709820375
2023-03-31,-454883.8421872296
2023-04-03,-126028.4238094489
2023-04-04,194950.21808024126
2023-04-05,92552.12373506404
2023-04-06,-116182.4531993357
2023-04-10,-33476.30007438486
2023-04-11,-1969.194122022639
2023-04-12,137843.58854158473
2023-04-13,-423376.73623486736
2023-04-14,70890.98839281501
2023-04-17,-102398.09434517723
2023-04-18,-25599.52358629431
2023-04-19,11815.164732135834
2023-04-20,204796.18869035447
2023-04-21,-33476.30007438486
2023-04-24,-21661.13534224903
2023-04-25,521836.44233599934
2023-04-26,135874.3944195621
2023-04-27,-612419.3719490408
2023-04-28,-273717.9829611468
2023-05-01,21661.13534224903
2023-05-02,385962.0479164372
2023-05-03,230395.7122766488
2023-05-04,250087.65349687514
2023-05-05,-586819.8483627464
2023-05-08,-19691.941220226392
2023-05-09,147689.55915169793
2023-05-10,-141781.97678563002
2023-05-11,64983.406026747085
2023-05-12,45291.46480652069
2023-05-15,-94521.31785708667
2023-05-16,212672.965178445
2023-05-17,-382023.65967239195
2023-05-18,-319009.44776766753
2023-05-19,57106.62953865653
2023-05-22,-1969.194122022639
2023-05-23,364300.9125741882
2023-05-24,257964.42998496574
2023-05-25,-265841.2064730563
2023-05-26,-421407.54211284476
2023-05-30,-13784.358854158472
2023-05-31,192981.0239582186
2023-06-01,-295379.11830339587
2023-06-02,-472606.58928543335
2023-06-05,55137.43541663389
2023-06-06,-68921.79427079236
2023-06-07,122090.03556540362
2023-06-08,-189042.63571417335
2023-06-09,-51199.04717258862
2023-06-12,-299317.5065474411
2023-06-13,-232098.50767769795
2023-06-14,-14127.735249946832
2023-06-15,-425850.3053912545
2023-06-16,141277.3524994683
2023-06-20,153386.8398565656
2023-06-21,205861.28507065383
2023-06-22,-117058.37778527375
2023-06-23,280536.45710608707
2023-06-26,151368.59196371606
2023-06-27,-391540.09121281217
2023-06-28,10091.239464247737
2023-06-29,-147332.09617801697
2023-06-30,-423832.057498405
2023-07-03,-32291.96628559276
2023-07-05,68620.42835688461
2023-07-06,296682.44024888345
2023-07-07,104948.89042817647
2023-07-10,-82748.16360683144
2023-07-11,-236135.00346339706
2023-07-12,-274481.71342753846
2023-07-13,-290627.69657033484
2023-07-14,54492.69310693778
2023-07-17,-137240.85671376923
2023-07-18,-274481.71342753846
2023-07-19,-74675.17203543325
2023-07-20,254299.23449904294
2023-07-21,6054.7436785486425
2023-07-24,-151368.59196371606
2023-07-25,-100912.39464247737
2023-07-26,6054.7436785486425
2023-07-27,250262.7387133439
2023-07-28,-341083.89389157353
2023-07-31,-64583.93257118552
