,value
Annualized Return,0.18533193246907542
Annualized Volatility,0.19113644944765892
Sharpe Ratio,0.9851324341118353
Calmar Ratio,0.5713208163983278
Max Drawdown,-0.3243920528539474
Win Rate,0.5323294951284322
Max Daily Return,0.08986914099628751
Min Daily Return,-0.04586323835345063
Skewness,0.2070025594547208
Kurtosis,3.723262519124238
Final NAV,213768654.47371015
Total Transaction Cost,215033.30392192345
