Date,near,far,fair,market,difference,zscore
2021-09-21,ESZ1,ESH2,-14.674771813625739,-7.5,7.174771813625739,
2021-09-22,ESZ1,ESH2,-14.672704848001558,-7.5,7.172704848001558,
2021-09-23,ESZ1,ESH2,-14.669291865963714,-7.5,7.169291865963714,
2021-09-24,ESZ1,ESH2,-14.667383692816657,-7.5,7.1673836928166565,
2021-09-27,ESZ1,ESH2,-14.671553738913644,-7.5,7.171553738913644,
2021-09-28,ESZ1,ESH2,-14.684995548587722,-7.5,7.184995548587722,
2021-09-29,ESZ1,ESH2,-14.682044916518862,-7.5,7.182044916518862,
2021-09-30,ESZ1,ESH2,-14.683955397708814,-7.75,6.933955397708814,
2021-10-01,ESZ1,ESH2,-14.88276541250616,-7.75,7.13276541250616,
2021-10-04,ESZ1,ESH2,-14.688212529942575,-7.75,6.938212529942575,
2021-10-05,ESZ1,ESH2,-14.681388533438621,-7.75,6.931388533438621,
2021-10-06,ESZ1,ESH2,-14.679442199251753,-7.75,6.929442199251753,
2021-10-07,ESZ1,ESH2,-14.880110404468724,-7.75,7.130110404468724,
2021-10-08,ESZ1,ESH2,-14.786251105258089,-7.75,7.0362511052580885,
2021-10-11,ESZ1,ESH2,-14.789490943328019,-7.75,7.039490943328019,
2021-10-12,ESZ1,ESH2,-14.78823645180455,-7.5,7.288236451804551,
2021-10-13,ESZ1,ESH2,-14.60338402234538,-7.5,7.103384022345381,
2021-10-14,ESZ1,ESH2,-14.58914913037188,-7.5,7.089149130371879,
2021-10-15,ESZ1,ESH2,-14.572118731737646,-7.5,7.072118731737646,
2021-10-18,ESZ1,ESH2,-14.567437126674122,-7.5,7.067437126674122,
2021-10-19,ESZ1,ESH2,-14.556653759357687,-7.25,7.306653759357687,2.069797948889698
2021-10-20,ESZ1,ESH2,-14.551948485990579,-7.0,7.551948485990579,4.045682357481282
2021-10-21,ESZ1,ESH2,-14.65881287585853,-7.0,7.65881287585853,3.595333836187017
2021-10-22,ESZ1,ESH2,-14.729983251037993,-6.75,7.979983251037993,4.348248549542453
2021-10-25,ESZ1,ESH2,-14.665062422696792,-6.75,7.915062422696792,2.7217869589663626
2021-10-26,ESZ1,ESH2,-14.739579907866755,-6.75,7.989579907866755,2.445046518060559
2021-10-27,ESZ1,ESH2,-14.68666490607302,-6.5,8.18666490607302,2.587061982633568
2021-10-28,ESZ1,ESH2,-14.682333502050824,-6.25,8.432333502050824,2.7197410152525148
2021-10-29,ESZ1,ESH2,-14.671095076538222,-6.0,8.671095076538222,2.725018970499737
2021-11-01,ESZ1,ESH2,-14.518101015887623,-6.25,8.268101015887623,1.4690432054887725
2021-11-02,ESZ1,ESH2,-14.693090917797235,-6.25,8.443090917797235,1.628427848970667
2021-11-03,ESZ1,ESH2,-14.681570929341433,-6.5,8.181570929341433,0.9964198704632539
2021-11-04,ESZ1,ESH2,-14.681817964676156,-6.5,8.181817964676156,0.9032667417070848
2021-11-05,ESZ1,ESH2,-14.678676606391491,-6.5,8.178676606391491,0.8105582553814189
2021-11-08,ESZ1,ESH2,-14.694790634324818,-6.25,8.444790634324818,1.216296980648107
2021-11-09,ESZ1,ESH2,-14.707059979258702,-6.5,8.207059979258702,0.6647460900057102
2021-11-10,ESZ1,ESH2,-14.712899352392924,-6.5,8.212899352392924,0.6028698231539547
2021-11-11,ESZ1,ESH2,-14.711419321705762,-6.5,8.211419321705762,0.5248415063657625
2021-11-12,ESZ1,ESH2,-14.756625696526498,-6.25,8.506625696526498,1.0998906755249387
2021-11-15,ESZ1,ESH2,-14.712411541220717,-6.5,8.212411541220717,0.324517825630555
2021-11-16,ESZ1,ESH2,-14.567437346845509,-6.25,8.317437346845509,0.5425390609136268
2021-11-17,ESZ1,ESH2,-14.608975103137709,-6.25,8.358975103137709,0.6330765861378171
2021-11-18,ESZ1,ESH2,-14.606085922882812,-6.25,8.356085922882812,0.5627221937650647
2021-11-19,ESZ1,ESH2,-14.604695719860501,-6.0,8.604695719860501,1.8431120709329367
2021-11-22,ESZ1,ESH2,-14.773500207698817,-6.0,8.773500207698817,2.5509455764132727
2021-11-23,ESZ1,ESH2,-14.634064529445823,-5.75,8.884064529445823,2.8091905661732914
2021-11-24,ESZ1,ESH2,-14.633732027601582,-5.75,8.883732027601582,2.3607112860753965
2021-11-26,ESZ1,ESH2,-14.65235816484801,-6.25,8.40235816484801,-0.0602634978607807
2021-11-29,ESZ1,ESH2,-14.64593463053916,-6.0,8.64593463053916,0.9827216213481935
2021-11-30,ESZ1,ESH2,-14.656329641276898,-6.0,8.656329641276898,1.0384123473823137
2021-12-01,ESZ1,ESH2,-14.665045055713563,-6.0,8.665045055713563,0.9785271713663384
2021-12-02,ESZ1,ESH2,-14.660900482959732,-6.0,8.660900482959732,0.8930237628499484
2021-12-03,ESZ1,ESH2,-14.66440070909266,-6.25,8.41440070909266,-0.2253459606743602
2021-12-06,ESZ1,ESH2,-14.6606786210059,-6.75,7.9106786210059,-2.4777736599462226
2021-12-07,ESZ1,ESH2,-14.65020868123247,-6.5,8.15020868123247,-1.2418247617724145
2021-12-08,ESZ1,ESH2,-14.647647624060482,-6.75,7.8976476240604825,-2.0962255092722715
2021-12-09,ESZ1,ESH2,-14.651794722062732,-7.25,7.401794722062732,-3.5988456548021266
2021-12-10,ESZ1,ESH2,-14.634084298428206,-7.5,7.134084298428206,-3.4389344844835485
2021-12-13,ESZ1,ESH2,-14.6499718929972,-9.25,5.3999718929972005,-6.366518689064776
2021-12-14,ESZ1,ESH2,-14.654055751578198,-9.0,5.654055751578198,-3.1601401236387594
2021-12-15,ESH2,ESM2,-13.080672218558902,-7.75,5.330672218558902,-2.780575958869323
2021-12-16,ESH2,ESM2,-12.878331526407237,-7.5,5.378331526407237,-2.196949219480302
2021-12-17,ESH2,ESM2,-12.795768424372909,-7.5,5.295768424372909,-1.9301586031372138
2021-12-20,ESH2,ESM2,-12.881757649523024,-7.5,5.381757649523024,-1.6117215116072476
2021-12-21,ESH2,ESM2,-12.737681557217002,-7.75,4.987681557217002,-1.7014959538059053
2021-12-22,ESH2,ESM2,-12.494560033522248,-7.75,4.744560033522248,-1.6655157238894045
2021-12-23,ESH2,ESM2,-12.487443900550716,-7.75,4.737443900550716,-1.4855533016175109
2021-12-27,ESH2,ESM2,-12.273790481592187,-7.75,4.5237904815921866,-1.471765517893449
2021-12-28,ESH2,ESM2,-12.29004595457991,-7.75,4.5400459545799094,-1.3083071436593559
2021-12-29,ESH2,ESM2,-12.300845633172685,-7.75,4.550845633172685,-1.1788500927357848
2021-12-30,ESH2,ESM2,-11.986976918940854,-8.0,3.9869769189408544,-1.4342111480649344
2021-12-31,ESH2,ESM2,-12.229198339749928,-8.0,4.229198339749928,-1.154757855333006
2022-01-03,ESH2,ESM2,-12.46957842849315,-8.0,4.469578428493151,-0.9049164352314548
2022-01-04,ESH2,ESM2,-12.26662490714898,-8.0,4.26662490714898,-0.9855282360569558
2022-01-05,ESH2,ESM2,-12.332549530943652,-8.0,4.332549530943652,-0.8564884402128543
2022-01-06,ESH2,ESM2,-12.238279964440153,-7.5,4.738279964440153,-0.4349727514531594
2022-01-07,ESH2,ESM2,-11.851871015986035,-7.5,4.351871015986035,-0.7887236711355384
2022-01-10,ESH2,ESM2,-11.905802141449385,-7.75,4.155802141449385,-1.050311968339316
2022-01-11,ESH2,ESM2,-11.979786243801755,-7.75,4.229786243801755,-1.0502301029310865
2022-01-12,ESH2,ESM2,-11.700320854029997,-7.75,3.9503208540299966,-1.5290141496552372
2022-01-13,ESH2,ESM2,-11.854188300957503,-7.75,4.104188300957503,-1.1024471046507558
2022-01-14,ESH2,ESM2,-11.682606166749792,-7.5,4.1826061667497925,-0.8337889419562808
2022-01-18,ESH2,ESM2,-11.826290832905215,-7.5,4.326290832905215,-0.4058141494150132
2022-01-19,ESH2,ESM2,-11.155357456201273,-7.5,3.6553574562012727,-2.2330205177065148
2022-01-20,ESH2,ESM2,-11.290905544175985,-7.5,3.7909055441759847,-1.7683422552731758
2022-01-21,ESH2,ESM2,-11.380631290829115,-8.0,3.3806312908291147,-2.996323507750598
2022-01-24,ESH2,ESM2,-11.554557658842896,-8.0,3.5545576588428958,-1.9276429659107597
2022-01-25,ESH2,ESM2,-11.634505841309874,-7.75,3.884505841309874,-0.7893081071863521
2022-01-26,ESH2,ESM2,-11.47334358336957,-7.5,3.9733435833695694,-0.45718508275282643
2022-01-27,ESH2,ESM2,-11.33436644088306,-7.25,4.084366440883059,-0.06283425883902294
2022-01-28,ESH2,ESM2,-10.606660630221086,-7.25,3.3566606302210857,-2.2458891817028555
2022-01-31,ESH2,ESM2,-10.545469813153431,-7.0,3.5454698131534315,-1.3984444253117754
2022-02-01,ESH2,ESM2,-10.354522953100059,-7.0,3.3545229531000587,-1.7624680182555765
2022-02-02,ESH2,ESM2,-10.465154871370032,-7.0,3.465154871370032,-1.2794047525856067
2022-02-03,ESH2,ESM2,-10.457025534809873,-7.0,3.4570255348098726,-1.172519187091194
2022-02-04,ESH2,ESM2,-10.235416745989824,-6.5,3.7354167459898235,-0.3576748984583615
2022-02-07,ESH2,ESM2,-9.70478829750391,-6.5,3.20478829750391,-1.8247393730632782
2022-02-08,ESH2,ESM2,-9.719048318466776,-6.5,3.2190483184667755,-1.598238651409105
2022-02-09,ESH2,ESM2,-9.440636042105325,-6.5,2.940636042105325,-2.2170446582620755
2022-02-10,ESH2,ESM2,-9.243896411948299,-5.25,3.993896411948299,0.9010153865874477
2022-02-11,ESH2,ESM2,-8.193077281213846,-5.75,2.4430772812138457,-3.251609345613504
2022-02-14,ESH2,ESM2,-8.280662186109112,-5.5,2.7806621861091116,-1.779139155191257
2022-02-15,ESH2,ESM2,-7.9576706766738425,-5.75,2.2076706766738425,-2.8393500675457255
2022-02-16,ESH2,ESM2,-8.343664435727078,-6.0,2.343664435727078,-2.1099655973748543
2022-02-17,ESH2,ESM2,-8.70032987970535,-6.75,1.9503298797053503,-2.5200395737861108
2022-02-18,ESH2,ESM2,-9.047602692109649,-7.0,2.047602692109649,-1.9316399946931977
2022-02-22,ESH2,ESM2,-10.555310692916464,-7.0,3.555310692916464,0.5618320077730556
2022-02-23,ESH2,ESM2,-10.594158259183132,-7.0,3.594158259183132,0.6194667192575544
2022-02-24,ESH2,ESM2,-10.12060547665078,-8.0,2.1206054766507805,-1.5785839337856489
2022-02-25,ESH2,ESM2,-10.85759207900719,-7.5,3.3575920790071905,0.4290619185364315
2022-02-28,ESH2,ESM2,-10.59097393076081,-8.0,2.5909739307608106,-0.7016460470056912
2022-03-01,ESH2,ESM2,-11.244690456791432,-8.5,2.7446904567914316,-0.395705538526422
2022-03-02,ESH2,ESM2,-11.410450080694318,-7.75,3.660450080694318,1.1333728875181057
2022-03-03,ESH2,ESM2,-10.996414632023516,-7.75,3.246414632023516,0.4335644074264589
2022-03-04,ESH2,ESM2,-11.06624997363906,-8.0,3.06624997363906,0.16940565583111042
2022-03-07,ESH2,ESM2,-11.435535123999216,-8.25,3.185535123999216,0.3966060139031279
2022-03-08,ESH2,ESM2,-11.273791205466296,-8.25,3.0237912054662957,0.18733687808842825
2022-03-09,ESH2,ESM2,-11.182856080195052,-8.5,2.6828560801950516,-0.3742653263971763
2022-03-10,ESH2,ESM2,-10.913476918222841,-9.25,1.663476918222841,-2.06721241358433
2022-03-11,ESH2,ESM2,-10.890229988899591,-9.0,1.8902299888995913,-1.4280869011828774
2022-03-14,ESH2,ESM2,-11.101305299673186,-8.5,2.601305299673186,-0.17333467198672892
2022-03-15,ESH2,ESM2,-10.69869991637097,-8.25,2.4486999163709697,-0.4365085977879786
2022-03-16,ESM2,ESU2,-4.172124125283517,0.75,4.922124125283517,3.6190300139369724
2022-03-17,ESM2,ESU2,-3.1791597162427934,1.0,4.179159716242793,1.727909173939913
2022-03-18,ESM2,ESU2,-3.405463091553429,1.25,4.655463091553429,2.0983066028315784
2022-03-21,ESM2,ESU2,-3.3577044274697982,1.75,5.107704427469798,2.3363722674640797
2022-03-22,ESM2,ESU2,-2.1490697451163214,2.25,4.399069745116321,1.2425765352909177
2022-03-23,ESM2,ESU2,-1.4901000970930909,2.25,3.740100097093091,0.4894452870679125
2022-03-24,ESM2,ESU2,-1.4310365979408743,2.5,3.9310365979408743,0.6733526666258041
2022-03-25,ESM2,ESU2,-1.1813293122577306,3.5,4.681329312257731,1.378246640938517
2022-03-28,ESM2,ESU2,-0.5684284515209583,3.5,4.068428451520958,0.6428180736785482
2022-03-29,ESM2,ESU2,-0.22457134808428236,3.5,3.7245713480842824,0.23031788078038135
2022-03-30,ESM2,ESU2,-0.2772088607380283,3.5,3.7772088607380283,0.2375059542050782
2022-03-31,ESM2,ESU2,-0.5624241577888824,3.0,3.5624241577888824,0.0129004991986758
2022-04-01,ESM2,ESU2,-0.6852024493346107,3.25,3.9352024493346107,0.3768968864019971
2022-04-04,ESM2,ESU2,-0.10508367683996767,3.25,3.3550836768399677,-0.2599415061173461
2022-04-05,ESM2,ESU2,-0.5312100625815219,3.5,4.031210062581522,0.4249533681630498
2022-04-06,ESM2,ESU2,-0.015325848436987144,3.5,3.515325848436987,-0.15765785083902148
2022-04-07,ESM2,ESU2,0.12300723273074254,3.5,3.3769927672692575,-0.3535900195915746
2022-04-08,ESM2,ESU2,0.13719554410272394,3.75,3.612804455897276,-0.2241170802472758
2022-04-11,ESM2,ESU2,-0.08234940847978578,3.5,3.582349408479786,-0.43843542234982774
2022-04-12,ESM2,ESU2,-0.35025116417909885,3.0,3.350251164179099,-0.9400515714730875
2022-04-13,ESM2,ESU2,-0.27096010629884404,3.25,3.520960106298844,-0.8575852783472029
2022-04-14,ESM2,ESU2,-0.701693932022863,3.25,3.951693932022863,0.09476670448114188
2022-04-18,ESM2,ESU2,-0.5416873495614709,3.25,3.791687349561471,-0.210816433615219
2022-04-19,ESM2,ESU2,-0.23905975004163338,3.75,3.9890597500416334,0.3066134456467699
2022-04-20,ESM2,ESU2,0.17333796739058016,4.0,3.82666203260942,0.09264741253499913
2022-04-21,ESM2,ESU2,0.3181277007006429,4.25,3.931872299299357,0.5292833204698489
2022-04-22,ESM2,ESU2,0.5458382798842649,5.0,4.454161720115735,2.1530619207432538
2022-04-25,ESM2,ESU2,1.2585562701378876,4.5,3.2414437298621124,-1.6080856680436812
2022-04-26,ESM2,ESU2,0.06028516577407572,4.25,4.189714834225924,1.5167453010536056
2022-04-27,ESM2,ESU2,0.15980487456909032,4.0,3.8401951254309097,0.3345549173760334
2022-04-28,ESM2,ESU2,0.7687192560761105,4.75,3.9812807439238895,0.7670490454197201
