Date,port_pnl
2021-09-21,0.0
2021-09-22,865999.9999999851
2021-09-23,1277972.2199999988
2021-09-24,639421.266097188
2021-09-27,-294988.3393051028
2021-09-28,-2532488.491177231
2021-09-29,-25988.538330465555
2021-09-30,-712500.3874762356
2021-10-01,1143976.9417246878
2021-10-04,-2188882.2358861268
2021-10-05,1315511.8006376624
2021-10-06,762078.3422499299
2021-10-07,915283.5278420299
2021-10-08,-254936.79818807542
2021-10-11,-825447.5571409762
2021-10-12,-484411.45687507093
2021-10-13,251989.51874424517
2021-10-14,1654557.4132000208
2021-10-15,1253613.268242538
2021-10-18,1181748.7456851304
2021-10-19,819066.9728115648
2021-10-20,-192761.30023165047
2021-10-21,692245.554721579
2021-10-22,-858930.2534135282
2021-10-25,1651641.6999844015
2021-10-26,709499.7341040969
2021-10-27,-125980.66054464877
2021-10-28,1034381.7225785255
2021-10-29,913055.7845812738
2021-11-01,643907.4399731755
2021-11-02,226103.27638463676
2021-11-03,964296.2524488419
2021-11-04,1947791.7855751365
2021-11-05,622512.222959578
2021-11-08,-116379.01965613663
2021-11-09,-1722441.3765024096
2021-11-10,-866974.0487913936
2021-11-11,-27570.8862567544
2021-11-12,987893.5283013135
2021-11-15,-213588.2259246409
2021-11-16,514070.19382177293
2021-11-17,-369211.7972983718
2021-11-18,1657621.3051895052
2021-11-19,979388.3493773788
2021-11-22,-1102839.7092191577
2021-11-23,-217528.9640250951
2021-11-24,748070.3291596025
2021-11-26,-2921588.10807395
2021-11-29,2207468.403452009
2021-11-30,-1492091.172447756
2021-12-01,-1816510.3221476376
2021-12-02,798377.205321312
2021-12-03,-2042987.9307516813
2021-12-06,1358294.2666968554
2021-12-07,3249311.7175482213
2021-12-08,600052.0567079782
2021-12-09,-1237059.315662384
2021-12-10,604492.8261343092
2021-12-13,-1889674.3513646573
2021-12-14,-521198.87114441395
2021-12-15,2376750.7532644123
2021-12-16,-2357157.538146004
2021-12-17,-1121391.4268739074
2021-12-20,-1491597.9428476542
2021-12-21,2544475.410199687
2021-12-22,1679940.0540008694
2021-12-23,1020439.6019084901
2021-12-27,1866644.6184111089
2021-12-28,-317593.9042636305
2021-12-29,-243538.33223356307
2021-12-30,-483757.3170348406
2021-12-31,-1002039.7548617125
2022-01-03,2872627.778384328
2022-01-04,-996597.0390938371
2022-01-05,-3436807.8942673504
2022-01-06,-6662.827957257628
2022-01-07,-753964.7898945212
2022-01-10,45217.467051282525
2022-01-11,1023878.3845231235
2022-01-12,780602.7619913667
2022-01-13,-2858351.8301891983
2022-01-14,158452.8850903958
2022-01-18,-2491864.6573719233
2022-01-19,-1354986.0549800396
2022-01-20,-1294526.7055401802
2022-01-21,-3118418.3248853385
2022-01-24,-158847.11901822686
2022-01-25,-1453644.1534428298
2022-01-26,931919.2052633762
2022-01-27,-1444126.6127012968
2022-01-28,3666898.015414506
2022-01-31,3225367.439499676
2022-02-01,795640.0085356832
2022-02-02,1275539.6027626544
2022-02-03,-5649197.852980703
2022-02-04,2101575.1596976817
2022-02-07,-1090642.0845719725
2022-02-08,923156.5254977793
2022-02-09,1976487.7868393213
2022-02-10,-2161666.7528408915
2022-02-11,-3102626.049283445
2022-02-14,272733.3235281706
2022-02-15,2578718.0189457834
2022-02-16,30120.500083088875
2022-02-17,-3375513.2622871697
2022-02-18,-1284625.1600226015
2022-02-22,-1310878.1739286184
2022-02-23,-2743799.5821721405
2022-02-24,2542233.699877441
2022-02-25,1724781.4994129837
2022-02-28,315244.17792758346
2022-03-01,-2013184.1860527992
2022-03-02,1480884.8194772303
2022-03-03,-1376307.0306078345
2022-03-04,-1693831.1144725978
2022-03-07,-3867511.745394379
2022-03-08,-19381.195644676685
2022-03-09,3646590.4926604778
2022-03-10,-630185.3145362586
2022-03-11,-2066806.0860515237
2022-03-14,-1205355.6206658483
2022-03-15,3294182.469850391
2022-03-16,3455957.0104566216
2022-03-17,1409396.6648187637
2022-03-18,2451301.979003042
2022-03-21,36945.758963406086
2022-03-22,2100506.5446486026
2022-03-23,-1166029.5587578267
2022-03-24,2371370.374052912
2022-03-25,256447.16126841307
2022-03-28,1784602.6549991816
2022-03-29,1395501.4890757948
2022-03-30,-1020762.2032798529
2022-03-31,-1973703.423142776
2022-04-01,303274.16303411126
2022-04-04,2267699.3003415316
2022-04-05,-2122988.0704014003
2022-04-06,-2913002.8482369035
2022-04-07,-211012.34823572636
2022-04-08,-1248980.925001189
2022-04-11,-2799944.192543596
2022-04-12,-548278.6765965521
2022-04-13,1366132.0222911537
2022-04-14,-2244274.092191398
2022-04-18,694702.5223291069
2022-04-19,2188891.5431206822
2022-04-20,-1824641.4659106433
2022-04-21,-1916867.5844571292
2022-04-22,-2481820.7036872655
2022-04-25,1264346.0639692247
2022-04-26,-4284089.776180834
2022-04-27,-76277.93952776492
2022-04-28,4139464.419294849
2022-04-29,-4170609.27944237
2022-05-02,1700937.4307621568
2022-05-03,231866.72354875505
2022-05-04,3155771.7033426017
2022-05-05,-5169638.728620812
2022-05-06,-735535.4232498854
2022-05-09,-3897459.4295534194
2022-05-10,794166.4211118817
2022-05-11,-2653789.299336314
2022-05-12,-546260.3830662966
2022-05-13,3055876.2934868485
2022-05-16,-1110657.2989889681
2022-05-17,2515415.387443334
2022-05-18,-4060072.036533162
2022-05-19,-606579.9766206145
2022-05-20,-601410.3838818371
2022-05-23,2209039.399849206
