,value
Annualized Return,0.12994831918128757
Annualized Volatility,0.09621152243446926
Sharpe Ratio,1.3181688411251786
Calmar Ratio,0.807148017662492
Max Drawdown,-0.1609968882268041
Win Rate,0.5385296722763507
Max Daily Return,0.03277422244387096
Min Daily Return,-0.02511848216380741
Skewness,0.04000492300816499
Kurtosis,1.74014856712422
Final NAV,172518602.6389072
Total Transaction Cost,260133.21568769377
