Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,TSLA,V
2020-09-21,106.87308502197266,148.02349853515625,70.92084503173828,124.3573226928711,82.14583587646484,246.21780395507812,193.3962860107422,12.477787017822266,149.79666137695312,189.7406768798828
2020-09-22,108.55265045166016,156.44949340820312,72.39266967773438,123.59455871582031,81.24946594238281,252.7664031982422,198.0559539794922,12.597904205322266,141.41000366210938,192.72923278808594
2020-09-23,103.99930572509766,149.9929962158203,69.89183807373047,123.79167175292969,79.9307861328125,247.08103942871094,191.53431701660156,12.085524559020996,126.78666687011719,187.74180603027344
2020-09-24,105.06724548339844,150.989501953125,70.55982208251953,123.9887924194336,79.86186218261719,247.58706665039062,194.0169677734375,12.309070587158203,129.26333618164062,187.885986328125
2020-09-25,109.00897979736328,154.75650024414062,71.36317443847656,124.83728790283203,80.5599594116211,252.83587646484375,198.4379425048828,12.833162307739258,135.77999877929688,189.54844665527344
2020-09-28,111.61090850830078,158.70249938964844,72.33513641357422,126.07999420166016,82.87842559814453,254.82029724121094,199.9848175048828,12.993904113769531,140.39999389648438,192.49856567382812
2020-09-29,110.76624298095703,157.24400329589844,72.70012664794922,126.03714752197266,82.18029022216797,259.7516174316406,197.90316772460938,13.184053421020508,139.69000244140625,191.6529083251953
2020-09-30,112.4361343383789,157.43649291992188,72.67930603027344,127.59696197509766,82.97322082519531,259.86077880859375,200.83460998535156,13.48784351348877,143.00332641601562,192.16226196289062
2020-10-01,113.38758850097656,161.06300354003906,73.78516387939453,126.25999450683594,83.57655334472656,264.5539245605469,202.86846923828125,13.571578979492188,149.3866729736328,195.41029357910156
2020-10-02,109.72743225097656,156.25,72.18340301513672,125.33435821533203,84.3694839477539,257.916015625,196.8815460205078,13.021068572998047,138.3633270263672,193.5940704345703
2020-10-05,113.10603332519531,159.9600067138672,73.53374481201172,127.03987884521484,86.15274047851562,262.5893249511719,200.8823699951172,13.599488258361816,141.89332580566406,195.59283447265625
2020-10-06,109.86334228515625,154.9980010986328,71.95628356933594,125.35147857666016,85.26547241210938,256.6459655761719,196.61415100097656,13.693192481994629,137.9933319091797,192.62350463867188
2020-10-07,111.72742462158203,159.7845001220703,72.35895538330078,126.7398910522461,86.75296020507812,256.11016845703125,200.35719299316406,13.919975280761719,141.76666259765625,194.5646514892578
2020-10-08,111.62063598632812,159.52749633789062,73.56350708007812,127.60552978515625,88.53618621826172,261.7063293457031,201.07327270507812,13.795119285583496,141.97332763671875,195.05474853515625
2020-10-09,113.56236267089844,164.33250427246094,74.9034194946289,129.38821411132812,88.03166198730469,262.39093017578125,206.06724548339844,13.719358444213867,144.6666717529297,198.5718231201172
2020-10-12,120.77587890625,172.14649963378906,77.58822631835938,130.1337890625,89.1103286743164,273.6029357910156,211.40489196777344,14.18114948272705,147.43333435058594,198.3411865234375
2020-10-13,117.57202911376953,172.18150329589844,77.71121978759766,127.15129852294922,87.66630554199219,273.9898681640625,212.79893493652344,14.203328132629395,148.88333129882812,196.34239196777344
2020-10-14,117.65940856933594,168.1855010986328,77.53121185302734,126.92848205566406,87.17919158935547,269.7034912109375,210.88925170898438,14.050809860229492,153.76666259765625,194.30517578125
2020-10-15,117.19338989257812,166.9324951171875,77.13597106933594,126.14854431152344,88.48400115966797,264.6431884765625,209.74339294433594,13.925956726074219,149.6266632080078,191.75865173339844
2020-10-16,115.55261993408203,163.635498046875,77.7424545288086,126.92848205566406,88.30131530761719,263.8593444824219,209.74339294433594,13.767955780029297,146.55667114257812,192.44094848632812
2020-10-19,112.6011962890625,160.36050415039062,75.87042999267578,123.68883514404297,86.81385040283203,259.3646240234375,204.5489959716797,13.455194473266602,143.61000061035156,189.27938842773438
2020-10-20,114.08662414550781,160.85049438476562,76.91827392578125,123.88593292236328,87.3096923828125,265.4766845703125,204.95957946777344,13.602478981018066,140.64666748046875,189.98081970214844
2020-10-21,113.46527862548828,159.2469940185547,78.64945983886719,123.35456848144531,86.43977355957031,276.55975341796875,205.102783203125,13.482107162475586,140.8800048828125,190.682373046875
2020-10-22,112.37788391113281,158.82000732421875,79.67449188232422,124.3401870727539,89.4930648803711,275.9544677734375,205.18875122070312,13.318877220153809,141.92999267578125,190.25953674316406
2020-10-23,111.6885757446289,160.22000122070312,80.97970581054688,124.477294921875,90.30204010009766,282.5725402832031,206.4682159423828,13.54740047454834,140.2100067138672,190.27874755859375
2020-10-26,111.69830322265625,160.3520050048828,78.5651626586914,123.38883209228516,88.06646728515625,274.9522705078125,200.59591674804688,13.099820137023926,140.0933380126953,185.53170776367188
2020-10-27,113.20313262939453,164.31649780273438,79.28868103027344,122.68603515625,86.40498352050781,281.0842590332031,203.62277221679688,13.354513168334961,141.55999755859375,182.63917541503906
2020-10-28,107.96044158935547,158.13900756835938,74.92078399658203,118.58081817626953,83.97803497314453,265.5858459472656,193.5299530029297,12.587190628051758,135.33999633789062,173.80801391601562
2020-10-29,111.96039581298828,160.55050659179688,77.20589447021484,117.57811737060547,84.52606964111328,278.64337158203125,195.47787475585938,12.982938766479492,136.94332885742188,177.6518096923828
2020-10-30,105.68861389160156,151.8074951171875,80.14310455322266,117.5095443725586,85.2828598022461,261.0613098144531,193.32945251464844,12.494483947753906,129.34666442871094,174.61520385742188
2020-11-02,105.60122680664062,150.2239990234375,80.5502700805664,118.86365509033203,87.20528411865234,259.324951171875,193.19577026367188,12.54108715057373,133.50332641601562,177.52691650390625
2020-11-03,107.22260284423828,152.42050170898438,81.60850524902344,118.70083618164062,89.9541015625,263.2342529296875,197.1106719970703,12.978452682495117,141.3000030517578,180.98631286621094
2020-11-04,111.6011962890625,162.05799865722656,86.57695007324219,119.47216033935547,87.20528411865234,285.1423645019531,206.6210174560547,13.750761985778809,140.32666015625,186.396484375
2020-11-05,115.56233215332031,166.10000610351562,87.40262603759766,119.78067779541016,90.77178192138672,292.385498046875,213.20953369140625,14.115357398986816,146.02999877929688,189.92324829101562
2020-11-06,115.4310531616211,165.56849670410156,87.2652587890625,121.91473388671875,89.56265258789062,291.1253967285156,213.62008666992188,14.516091346740723,143.31666564941406,190.72080993652344
2020-11-09,113.12611389160156,157.18699645996094,87.34905242919922,125.19723510742188,101.68875885009766,276.59942626953125,208.53073120117188,13.587776184082031,140.4199981689453,204.37600708007812
2020-11-10,112.78572082519531,151.75100708007812,86.17377471923828,127.08270263671875,101.35820007324219,270.3087158203125,201.4839324951172,12.72973918914795,136.7866668701172,204.98138427734375
2020-11-11,116.20907592773438,156.8695068359375,86.6453857421875,126.67135620117188,99.8446044921875,274.3272399902344,206.7738037109375,13.375694274902344,139.0433349609375,204.39520263671875
2020-11-12,115.93675994873047,155.51400756835938,86.42668151855469,127.09984588623047,98.61808776855469,272.9381408691406,205.7139129638672,13.414322853088379,137.25332641601562,200.43008422851562
2020-11-13,115.98538970947266,156.4405059814453,87.88661193847656,128.4711456298828,99.23571014404297,274.7935791015625,206.735595703125,13.255080223083496,136.1666717529297,202.56663513183594
2020-11-16,116.99683380126953,156.55299377441406,87.97439575195312,129.2853240966797,102.03668975830078,276.7879333496094,207.423095703125,13.472639083862305,136.02999877929688,204.7031707763672
2020-11-17,116.11180877685547,156.7830047607422,87.36095428466797,127.99976348876953,101.00155639648438,272.8587646484375,204.7781524658203,13.37993335723877,147.20333862304688,202.78799438476562
2020-11-18,114.7891616821289,155.2729949951172,86.31857299804688,126.30282592773438,100.25345611572266,269.85235595703125,202.0784149169922,13.386412620544434,162.2133331298828,200.0162811279297
2020-11-19,115.38240814208984,155.8509979248047,87.20773315429688,126.10565185546875,100.52312469482422,270.8147888183594,203.3612518310547,13.397872924804688,166.42333984375,199.76605224609375
2020-11-20,114.11811065673828,154.97000122070312,86.10733032226562,125.43720245361328,99.66194915771484,267.6000061035156,201.41783142089844,13.046487808227539,163.20333862304688,196.2147674560547
2020-11-23,110.72395324707031,154.91949462890625,85.66992950439453,124.15995025634766,102.53253173828125,266.3399353027344,201.14979553222656,13.098572731018066,173.9499969482422,200.33389282226562
2020-11-24,112.0076904296875,155.9029998779297,87.4720458984375,124.15995025634766,107.27338409423828,274.7637939453125,204.7398681640625,12.916895866394043,185.1266632080078,201.7967071533203
2020-11-25,112.84408569335938,159.2534942626953,87.48344421386719,123.99598693847656,106.15122985839844,273.4441223144531,204.7493896484375,13.193022727966309,191.3333282470703,202.96124267578125
2020-11-27,113.38868713378906,159.76699829101562,88.61856842041016,124.27214813232422,105.4466323852539,275.6468811035156,206.0514678955078,13.219439506530762,195.25332641601562,203.06710815429688
2020-11-30,115.78116607666016,158.40199279785156,87.00093841552734,124.8589859008789,102.54124450683594,274.81341552734375,204.94088745117188,13.359247207641602,189.1999969482422,202.4415283203125
2020-12-01,119.35041046142578,161.00399780273438,89.03215026855469,127.24951934814453,104.15919494628906,284.3188171386719,206.98965454101562,13.347784042358398,194.9199981689453,203.25953674316406
