Date,0
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-28,
2020-09-29,
2020-09-30,
2020-10-01,
2020-10-02,
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,
2020-10-23,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-11-02,
2020-11-03,
2020-11-04,
2020-11-05,
2020-11-06,
2020-11-09,
2020-11-10,
2020-11-11,
2020-11-12,
2020-11-13,
2020-11-16,
2020-11-17,
2020-11-18,
2020-11-19,
2020-11-20,
2020-11-23,
2020-11-24,
2020-11-25,
2020-11-27,
2020-11-30,
2020-12-01,
2020-12-02,
2020-12-03,
2020-12-04,
2020-12-07,
2020-12-08,
2020-12-09,
2020-12-10,
2020-12-11,
2020-12-14,
2020-12-15,1.211056584277031
2020-12-16,1.2253820024088804
2020-12-17,1.2006082261842235
2020-12-18,1.1948439408163312
2020-12-21,1.1842284701528933
2020-12-22,1.1886612517226178
2020-12-23,1.193780884237358
2020-12-24,1.1937204055882145
2020-12-28,1.1960293499009071
2020-12-29,1.1683251357916276
2020-12-30,1.1650778043238599
2020-12-31,1.1546140124524151
2021-01-04,1.1452859558070347
2021-01-05,1.147720746298494
2021-01-06,1.131373198198648
2021-01-07,1.1362659802694461
2021-01-08,1.1408993062887813
2021-01-11,1.158305383951574
2021-01-12,1.1553725640521737
2021-01-13,1.1543127645941305
2021-01-14,1.1532093787528748
2021-01-15,1.1520470003513406
2021-01-19,1.1612954572185743
2021-01-20,1.1764536056733736
2021-01-21,1.173824490022049
2021-01-22,1.1841261983002282
2021-01-25,1.1953979634583887
2021-01-26,1.1511696620812168
2021-01-27,1.117920361108333
2021-01-28,1.0604624629885895
2021-01-29,1.0952162226942839
2021-02-01,1.108933461560113
2021-02-02,1.0622231494747527
2021-02-03,1.0445027081328544
2021-02-04,1.0400216641666846
2021-02-05,1.0690168112029943
2021-02-08,1.053734744796942
2021-02-09,1.046210998751695
2021-02-10,1.0562142987038783
2021-02-11,1.0903817080255136
2021-02-12,1.1012898357957248
2021-02-16,1.1091661931526378
2021-02-17,1.1571687661835721
2021-02-18,1.155058497609457
2021-02-19,1.1494902017669895
2021-02-22,1.1783627318917669
2021-02-23,1.1796711224425744
2021-02-24,1.1896231649385394
2021-02-25,1.2329886705293178
2021-02-26,1.2240410816525407
2021-03-01,1.1996665151732469
2021-03-02,1.212207039881995
2021-03-03,1.2284078416416115
2021-03-04,1.233255259733124
2021-03-05,1.1917862247394453
2021-03-08,1.2108166028698693
2021-03-09,1.2572156493891016
2021-03-10,1.2525559225582772
2021-03-11,1.2664760935785815
2021-03-12,1.276980011614269
2021-03-15,1.2928816187245302
2021-03-16,1.2904538584443923
2021-03-17,1.2902477699569452
2021-03-18,1.3133263302213019
2021-03-19,1.3164741037132748
2021-03-22,1.317772732243667
2021-03-23,1.306164429459945
2021-03-24,1.313406470373041
2021-03-25,1.2998510292669647
2021-03-26,1.2702286072594582
2021-03-29,1.2684150934148584
2021-03-30,1.27004316345168
2021-03-31,1.3062752127656707
2021-04-01,1.3087367314893426
2021-04-05,1.3301457478436338
2021-04-06,1.3060817356443684
2021-04-07,1.3032619843145805
2021-04-08,1.2934654090789297
2021-04-09,1.2890559027633286
2021-04-12,1.2867392654271401
2021-04-13,1.2827131892764934
2021-04-14,1.295900219230634
2021-04-15,1.2968457208074553
2021-04-16,1.2840694367694387
2021-04-19,1.2883383754838087
2021-04-20,1.2853810723614867
2021-04-21,1.2801436740259333
2021-04-22,1.2912352318145395
2021-04-23,1.340130866937514
2021-04-26,1.3585325664923675
2021-04-27,1.373495484948454
2021-04-28,1.3590123525496074
2021-04-29,1.368511271466015
2021-04-30,1.3581376178162858
2021-05-03,1.36375695860799
2021-05-04,1.3687409170714062
2021-05-05,1.372054888418909
2021-05-06,1.3698137724813713
2021-05-07,1.365487956317938
2021-05-10,1.3927162373725133
2021-05-11,1.3791751495254738
2021-05-12,1.349438529292056
2021-05-13,1.331891674121985
2021-05-14,1.3443576444182619
2021-05-17,1.3400696200113675
2021-05-18,1.320178245233293
2021-05-19,1.3182550979254233
2021-05-20,1.3226601701112617
2021-05-21,1.30600187864962
2021-05-24,1.330239009408696
2021-05-25,1.3520951323149581
2021-05-26,1.3417865623054623
2021-05-27,1.328614702643874
2021-05-28,1.343597340031281
2021-06-01,1.4211394606750956
2021-06-02,1.3892931992428046
2021-06-03,1.3058626041354202
2021-06-04,1.3277053533061112
2021-06-07,1.3021573850044337
2021-06-08,1.3020062635622212
2021-06-09,1.3008641031542834
2021-06-10,1.305542013759998
2021-06-11,1.304159032960032
2021-06-14,1.2719194390901463
2021-06-15,1.2785632225450494
2021-06-16,1.2624094614735222
2021-06-17,1.27519941266489
2021-06-18,1.226298030887784
2021-06-21,1.1946036553437556
2021-06-22,1.2571644769132273
2021-06-23,1.255137106334283
2021-06-24,1.2547866551600968
2021-06-25,1.2422816273863477
2021-06-28,1.2460036635871838
2021-06-29,1.2272207205381298
2021-06-30,1.2248778391094994
2021-07-01,1.221690963972943
2021-07-02,1.2282072151780383
2021-07-06,1.2327489729064705
2021-07-07,1.231094147928116
2021-07-08,1.2158381854710356
2021-07-09,1.1787900184348001
2021-07-12,1.16759461674416
2021-07-13,1.1697203545837642
2021-07-14,1.161549998906427
2021-07-15,1.1779510313802346
2021-07-16,1.1951526313027636
2021-07-19,1.135287312764911
2021-07-20,1.0991894895903969
2021-07-21,1.0980761565787034
2021-07-22,1.0973653384798994
2021-07-23,1.1035457942954396
2021-07-26,1.0992199920150467
2021-07-27,1.112555593675545
2021-07-28,1.117684173399893
2021-07-29,1.1002313504155845
