Date,EqualWeight,^GSPC
2021-06-08,-0.00091,0.00018
2021-06-09,-0.00053,-0.00182
2021-06-10,0.00685,0.00465
2021-06-11,0.00194,0.00195
2021-06-14,0.00731,0.00182
2021-06-15,-0.00886,-0.00201
2021-06-16,-0.001,-0.00539
2021-06-17,0.01264,-0.00044
2021-06-18,-0.00927,-0.01312
2021-06-21,0.00692,0.014
2021-06-22,0.00967,0.00512
2021-06-23,0.00559,-0.00108
2021-06-24,0.00618,0.00581
2021-06-25,-0.00285,0.00333
2021-06-28,0.01433,0.00231
2021-06-29,0.00073,0.00028
2021-06-30,-0.00113,0.00133
2021-07-01,0.00557,0.00522
2021-07-02,0.01355,0.0075
2021-07-06,0.00269,-0.00202
2021-07-07,6e-05,0.00336
2021-07-08,-0.00776,-0.00856
2021-07-09,0.00869,0.01128
2021-07-12,0.00898,0.00345
2021-07-13,-0.00252,-0.00352
2021-07-14,6e-05,0.00116
2021-07-15,-0.009,-0.00326
2021-07-16,-0.01192,-0.00754
2021-07-19,-0.01118,-0.01587
2021-07-20,0.01188,0.01516
2021-07-21,0.00958,0.00824
2021-07-22,0.00549,0.00202
2021-07-23,0.0136,0.01015
2021-07-26,0.00482,0.00238
2021-07-27,-0.00898,-0.00471
2021-07-28,0.00362,-0.00019
2021-07-29,0.00224,0.00421
2021-07-30,-0.01008,-0.00541
2021-08-02,0.00024,-0.00184
2021-08-03,0.00507,0.0082
2021-08-04,0.00162,-0.00463
2021-08-05,0.00898,0.00601
2021-08-06,-0.00213,0.00168
2021-08-09,0.00123,-0.00094
2021-08-10,-0.00368,0.00099
2021-08-11,-0.00276,0.00128
2021-08-12,0.00786,0.00415
2021-08-13,0.00201,0.00161
2021-08-16,-0.00063,0.00262
2021-08-17,-0.01236,-0.00706
2021-08-18,-0.00821,-0.01075
2021-08-19,0.00361,0.00126
2021-08-20,0.01327,0.00814
2021-08-23,0.01755,0.00852
2021-08-24,0.00093,0.0015
2021-08-25,0.00313,0.00222
2021-08-26,-0.00552,-0.00582
2021-08-27,0.01166,0.00881
2021-08-30,0.01013,0.00431
2021-08-31,-0.00242,-0.00135
2021-09-01,0.00241,0.00031
2021-09-02,-0.0049,0.00284
2021-09-03,0.00346,-0.00034
2021-09-07,0.00471,-0.0034
2021-09-08,-0.00289,-0.00132
2021-09-09,-0.0059,-0.00461
2021-09-10,-0.00998,-0.00772
2021-09-13,0.00116,0.00228
2021-09-14,-0.00252,-0.00575
2021-09-15,0.00706,0.00847
2021-09-16,-0.00069,-0.00155
2021-09-17,-0.01142,-0.00911
2021-09-20,-0.02281,-0.01698
2021-09-21,0.00328,-0.00081
2021-09-22,0.00866,0.00952
2021-09-23,0.01267,0.01213
2021-09-24,0.00626,0.00146
2021-09-27,-0.00287,-0.00278
2021-09-28,-0.02471,-0.02036
2021-09-29,-0.00026,0.00157
2021-09-30,-0.00713,-0.01191
2021-10-01,0.01153,0.01149
2021-10-04,-0.02181,-0.01299
2021-10-05,0.0134,0.01052
2021-10-06,0.00766,0.0041
2021-10-07,0.00913,0.0083
2021-10-08,-0.00252,-0.00191
2021-10-11,-0.00818,-0.00687
2021-10-12,-0.00484,-0.00242
2021-10-13,0.00253,0.00302
2021-10-14,0.01657,0.01706
2021-10-15,0.01235,0.00746
2021-10-18,0.0115,0.00337
2021-10-19,0.00788,0.00739
2021-10-20,-0.00184,0.00366
2021-10-21,0.00662,0.003
2021-10-22,-0.00816,-0.00107
2021-10-25,0.01582,0.00475
2021-10-26,0.00669,0.00182
2021-10-27,-0.00118,-0.00505
2021-10-28,0.0097,0.00983
2021-10-29,0.00848,0.00195
2021-11-01,0.00593,0.0018
2021-11-02,0.00207,0.00368
2021-11-03,0.00881,0.00646
2021-11-04,0.01764,0.00418
2021-11-05,0.00554,0.00373
2021-11-08,-0.00103,0.00089
2021-11-09,-0.01526,-0.0035
2021-11-10,-0.0078,-0.00823
2021-11-11,-0.00025,0.00055
2021-11-12,0.00896,0.00722
2021-11-15,-0.00192,-1e-05
2021-11-16,0.00463,0.00387
2021-11-17,-0.00331,-0.0026
2021-11-18,0.01491,0.00338
2021-11-19,0.00868,-0.0014
2021-11-22,-0.00969,-0.0032
2021-11-23,-0.00193,0.00166
2021-11-24,0.00665,0.00229
2021-11-26,-0.0258,-0.02272
2021-11-29,0.02001,0.0132
2021-11-30,-0.01326,-0.01896
2021-12-01,-0.01636,-0.01182
2021-12-02,0.00731,0.01419
2021-12-03,-0.01857,-0.00845
2021-12-06,0.01258,0.01173
2021-12-07,0.02972,0.02071
2021-12-08,0.00533,0.00309
2021-12-09,-0.01093,-0.00718
2021-12-10,0.0054,0.00955
2021-12-13,-0.01679,-0.00914
2021-12-14,-0.00471,-0.00747
2021-12-15,0.02158,0.01635
2021-12-16,-0.02095,-0.00874
2021-12-17,-0.01018,-0.01029
2021-12-20,-0.01368,-0.01139
2021-12-21,0.02366,0.01778
2021-12-22,0.01526,0.01018
2021-12-23,0.00913,0.00622
2021-12-27,0.01655,0.01384
2021-12-28,-0.00277,-0.00101
2021-12-29,-0.00213,0.0014
2021-12-30,-0.00424,-0.00299
2021-12-31,-0.00882,-0.00263
2022-01-03,0.02551,0.00637
2022-01-04,-0.00863,-0.00063
2022-01-05,-0.03002,-0.01939
2022-01-06,-6e-05,-0.00096
2022-01-07,-0.00679,-0.00405
2022-01-10,0.00041,-0.00144
2022-01-11,0.00928,0.00916
2022-01-12,0.00701,0.00282
2022-01-13,-0.02549,-0.01424
2022-01-14,0.00145,0.00082
2022-01-18,-0.02277,-0.01839
2022-01-19,-0.01267,-0.00969
2022-01-20,-0.01226,-0.01104
2022-01-21,-0.0299,-0.01891
2022-01-24,-0.00157,0.00277
2022-01-25,-0.01439,-0.01217
2022-01-26,0.00936,-0.0015
2022-01-27,-0.01437,-0.00538
2022-01-28,0.03702,0.02435
2022-01-31,0.0314,0.01889
2022-02-01,0.00751,0.00686
2022-02-02,0.01195,0.00942
2022-02-03,-0.0523,-0.02439
2022-02-04,0.02053,0.00516
2022-02-07,-0.01044,-0.0037
2022-02-08,0.00893,0.0084
2022-02-09,0.01895,0.01452
2022-02-10,-0.02034,-0.01812
2022-02-11,-0.0298,-0.01897
2022-02-14,0.0027,-0.00384
2022-02-15,0.02546,0.01577
2022-02-16,0.00029,0.00088
2022-02-17,-0.03249,-0.02117
2022-02-18,-0.01278,-0.00717
2022-02-22,-0.01321,-0.01014
2022-02-23,-0.02802,-0.01841
2022-02-24,0.02671,0.01496
2022-02-25,0.01765,0.02237
2022-02-28,0.00317,-0.00244
2022-03-01,-0.02018,-0.01547
2022-03-02,0.01515,0.01864
2022-03-03,-0.01387,-0.00525
2022-03-04,-0.01731,-0.00793
2022-03-07,-0.04022,-0.02952
2022-03-08,-0.00021,-0.00723
2022-03-09,0.03952,0.0257
2022-03-10,-0.00657,-0.00429
2022-03-11,-0.02169,-0.01296
2022-03-14,-0.01293,-0.00742
2022-03-15,0.0358,0.02141
2022-03-16,0.03626,0.02238
2022-03-17,0.01427,0.01235
2022-03-18,0.02447,0.01166
2022-03-21,0.00036,-0.00043
2022-03-22,0.02046,0.0113
2022-03-23,-0.01113,-0.01227
2022-03-24,0.02289,0.01434
2022-03-25,0.00242,0.00507
2022-03-28,0.0168,0.00714
2022-03-29,0.01292,0.01226
2022-03-30,-0.00933,-0.00629
2022-03-31,-0.01821,-0.01565
2022-04-01,0.00285,0.00341
2022-04-04,0.02125,0.00809
2022-04-05,-0.01948,-0.01255
2022-04-06,-0.02726,-0.00972
2022-04-07,-0.00203,0.00425
2022-04-08,-0.01204,-0.00265
2022-04-11,-0.02732,-0.01688
2022-04-12,-0.0055,-0.00342
2022-04-13,0.01378,0.01117
2022-04-14,-0.02233,-0.01214
2022-04-18,0.00707,-0.0002
2022-04-19,0.02212,0.01606
2022-04-20,-0.01804,-0.00062
2022-04-21,-0.0193,-0.01475
2022-04-22,-0.02548,-0.02774
2022-04-25,0.01332,0.0057
2022-04-26,-0.04454,-0.02815
2022-04-27,-0.00083,0.0021
2022-04-28,0.04508,0.02475
2022-04-29,-0.04346,-0.03628
2022-05-02,0.01853,0.00568
2022-05-03,0.00248,0.00484
2022-05-04,0.03367,0.02986
2022-05-05,-0.05336,-0.03565
2022-05-06,-0.00802,-0.00567
2022-05-09,-0.04284,-0.03204
2022-05-10,0.00912,0.00246
2022-05-11,-0.0302,-0.01646
2022-05-12,-0.00641,-0.0013
2022-05-13,0.03609,0.02387
